character,level,name,description,effects
Hu Tao,1,Gameplay Notes,Hu Taohas been promoted or featured with a drop-rate boost in5Event Wishes:,Hu Taohas been promoted or featured with a drop-rate boost in5Event Wishes:
Raiden Shogun,1,Gameplay Notes,Raiden Shogunhas been promoted or featured with a drop-rate boost in5Event Wishes:,Raiden Shogunhas been promoted or featured with a drop-rate boost in5Event Wishes:
Wanderer,1,Gameplay Notes,Wandererhas been promoted or featured with a drop-rate boost in3Event Wishes:,Wandererhas been promoted or featured with a drop-rate boost in3Event Wishes:
